"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 02 13:29:48 GMT-03:00 2021","Sat Oct 02 13:29:50 GMT-03:00 2021","2446","","Cookies","","","","cy.clearCookies() - clear browser cookies",""
"passed","Sat Oct 02 13:30:13 GMT-03:00 2021","Sat Oct 02 13:30:14 GMT-03:00 2021","1187","","Cypress.version","","","","Get current version of Cypress being run",""
"passed","Sat Oct 02 13:30:52 GMT-03:00 2021","Sat Oct 02 13:30:55 GMT-03:00 2021","3048","","Misc","","","",".end() - end the command chain",""
"passed","Sat Oct 02 13:32:39 GMT-03:00 2021","Sat Oct 02 13:32:40 GMT-03:00 2021","1419","","Traversal","","","",".parent() - get parent DOM element from DOM elements",""
"passed","Sat Oct 02 13:28:45 GMT-03:00 2021","Sat Oct 02 13:28:47 GMT-03:00 2021","2075","Assertions","Explicit Assertions","","","","pass your own callback function to should()",""
"passed","Sat Oct 02 13:27:29 GMT-03:00 2021","Sat Oct 02 13:27:37 GMT-03:00 2021","7838","","Actions","","","",".check() - check a checkbox or radio element",""
"passed","Sat Oct 02 13:30:58 GMT-03:00 2021","Sat Oct 02 13:31:00 GMT-03:00 2021","1343","","Misc","","","","cy.focused() - get the DOM element that has focus",""
"passed","Sat Oct 02 13:29:58 GMT-03:00 2021","Sat Oct 02 13:30:00 GMT-03:00 2021","2608","","Cypress.Commands","","","",".add() - create a custom command",""
"passed","Sat Oct 02 13:30:00 GMT-03:00 2021","Sat Oct 02 13:30:03 GMT-03:00 2021","2367","","Cypress.Cookies","","","",".debug() - enable or disable debugging",""
"passed","Sat Oct 02 13:30:43 GMT-03:00 2021","Sat Oct 02 13:30:45 GMT-03:00 2021","1823","","Location","","","","cy.hash() - get the current URL hash",""
"passed","Sat Oct 02 13:33:06 GMT-03:00 2021","Sat Oct 02 13:33:12 GMT-03:00 2021","5662","","Viewport","","","","cy.viewport() - set the viewport size and dimension",""
"passed","Sat Oct 02 13:32:58 GMT-03:00 2021","Sat Oct 02 13:33:00 GMT-03:00 2021","1389","","Utilities","","","","Cypress.minimatch - test out glob patterns against strings",""
"passed","Sat Oct 02 13:31:20 GMT-03:00 2021","Sat Oct 02 13:31:24 GMT-03:00 2021","3235","","Navigation","","","","cy.visit() - visit a remote url",""
"passed","Sat Oct 02 13:28:12 GMT-03:00 2021","Sat Oct 02 13:28:18 GMT-03:00 2021","6080","","Aliasing","","","",".as() - alias a DOM element for later use",""
"passed","Sat Oct 02 13:32:38 GMT-03:00 2021","Sat Oct 02 13:32:39 GMT-03:00 2021","1200","","Traversal","","","",".not() - remove DOM elements from set of DOM elements",""
"passed","Sat Oct 02 13:30:46 GMT-03:00 2021","Sat Oct 02 13:30:48 GMT-03:00 2021","1220","","Location","","","","cy.url() - get the current URL",""
"passed","Sat Oct 02 13:32:13 GMT-03:00 2021","Sat Oct 02 13:32:14 GMT-03:00 2021","1067","","Spies, Stubs, and Clock","","","","cy.stub() - create a stub and/or replace a function with stub",""
"passed","Sat Oct 02 13:26:50 GMT-03:00 2021","Sat Oct 02 13:26:54 GMT-03:00 2021","3754","","Actions","","","",".blur() - blur off a DOM element",""
"passed","Sat Oct 02 13:29:19 GMT-03:00 2021","Sat Oct 02 13:29:21 GMT-03:00 2021","2128","Connectors",".then()","","","","yields the returned value to the next command",""
"passed","Sat Oct 02 13:31:57 GMT-03:00 2021","Sat Oct 02 13:31:59 GMT-03:00 2021","2188","","Querying","","","","cy.contains() - query DOM elements with matching content",""
"passed","Sat Oct 02 13:30:20 GMT-03:00 2021","Sat Oct 02 13:30:24 GMT-03:00 2021","4405","","Files","","","","cy.fixture() - load a fixture",""
"passed","Sat Oct 02 13:33:35 GMT-03:00 2021","Sat Oct 02 13:33:36 GMT-03:00 2021","1021","","Window","","","","cy.title() - get the title",""
"passed","Sat Oct 02 13:32:47 GMT-03:00 2021","Sat Oct 02 13:32:48 GMT-03:00 2021","1059","","Traversal","","","",".siblings() - get all sibling DOM elements",""
"passed","Sat Oct 02 13:32:14 GMT-03:00 2021","Sat Oct 02 13:32:16 GMT-03:00 2021","1476","","Spies, Stubs, and Clock","","","","cy.clock() - control time in the browser",""
"passed","Sat Oct 02 13:28:50 GMT-03:00 2021","Sat Oct 02 13:28:52 GMT-03:00 2021","2120","Assertions","Explicit Assertions","","","","can throw any error",""
"passed","Sat Oct 02 13:29:43 GMT-03:00 2021","Sat Oct 02 13:29:48 GMT-03:00 2021","4484","","Cookies","","","","cy.clearCookie() - clear a browser cookie",""
"passed","Sat Oct 02 13:28:40 GMT-03:00 2021","Sat Oct 02 13:28:42 GMT-03:00 2021","2099","Assertions","Implicit Assertions","","","",".and() - chain multiple assertions together",""
"passed","Sat Oct 02 13:27:56 GMT-03:00 2021","Sat Oct 02 13:27:59 GMT-03:00 2021","3286","","Actions","","","",".trigger() - trigger an event on a DOM element",""
"passed","Sat Oct 02 13:30:07 GMT-03:00 2021","Sat Oct 02 13:30:09 GMT-03:00 2021","1475","","Cypress.config()","","","","Get and set configuration options",""
"passed","Sat Oct 02 13:29:05 GMT-03:00 2021","Sat Oct 02 13:29:09 GMT-03:00 2021","3854","","Connectors","","","",".each() - iterate over an array of elements",""
"passed","Sat Oct 02 13:29:31 GMT-03:00 2021","Sat Oct 02 13:29:36 GMT-03:00 2021","5044","","Cookies","","","","cy.getCookie() - get a browser cookie",""
"passed","Sat Oct 02 13:32:44 GMT-03:00 2021","Sat Oct 02 13:32:45 GMT-03:00 2021","1307","","Traversal","","","",".prevAll() - get all previous sibling DOM elements",""
"passed","Sat Oct 02 13:30:28 GMT-03:00 2021","Sat Oct 02 13:30:31 GMT-03:00 2021","3371","","Files","","","","cy.writeFile() - write to a file",""
"passed","Sat Oct 02 13:30:26 GMT-03:00 2021","Sat Oct 02 13:30:28 GMT-03:00 2021","1675","","Files","","","","cy.readFile() - read file contents",""
"passed","Sat Oct 02 13:32:31 GMT-03:00 2021","Sat Oct 02 13:32:33 GMT-03:00 2021","1429","","Traversal","","","",".first() - get first DOM element",""
"passed","Sat Oct 02 13:28:42 GMT-03:00 2021","Sat Oct 02 13:28:45 GMT-03:00 2021","2659","Assertions","Explicit Assertions","","","","expect - make an assertion about a specified subject",""
"passed","Sat Oct 02 13:32:56 GMT-03:00 2021","Sat Oct 02 13:32:58 GMT-03:00 2021","1897","","Utilities","","","","Cypress.Blob - blob utilities and base64 string conversion",""
"passed","Sat Oct 02 13:28:34 GMT-03:00 2021","Sat Oct 02 13:28:40 GMT-03:00 2021","5446","Assertions","Implicit Assertions","","","",".should() - make an assertion about the current subject",""
"passed","Sat Oct 02 13:26:33 GMT-03:00 2021","Sat Oct 02 13:26:47 GMT-03:00 2021","13915","","Actions","","","",".type() - type into a DOM element",""
"passed","Sat Oct 02 13:31:54 GMT-03:00 2021","Sat Oct 02 13:31:57 GMT-03:00 2021","2837","","Querying","","","","cy.get() - query DOM elements",""
"passed","Sat Oct 02 13:32:55 GMT-03:00 2021","Sat Oct 02 13:32:56 GMT-03:00 2021","1325","","Utilities","","","","Cypress.$ - call a jQuery method",""
"passed","Sat Oct 02 13:26:54 GMT-03:00 2021","Sat Oct 02 13:26:58 GMT-03:00 2021","4205","","Actions","","","",".clear() - clears an input or textarea element",""
"passed","Sat Oct 02 13:27:37 GMT-03:00 2021","Sat Oct 02 13:27:44 GMT-03:00 2021","6939","","Actions","","","",".uncheck() - uncheck a checkbox element",""
"passed","Sat Oct 02 13:31:42 GMT-03:00 2021","Sat Oct 02 13:31:44 GMT-03:00 2021","2659","","Network Requests","","","","cy.request() - save response in the shared test context",""
"passed","Sat Oct 02 13:31:44 GMT-03:00 2021","Sat Oct 02 13:31:50 GMT-03:00 2021","5082","","Network Requests","","","","cy.intercept() - route responses to matching requests",""
"passed","Sat Oct 02 13:32:02 GMT-03:00 2021","Sat Oct 02 13:32:04 GMT-03:00 2021","2219","","Querying","","","","best practices - selecting elements",""
